-59.5403,-25.9511,-21.6852,-3.91611,21.3429,3.28842,7.30611,-1.26761,7.09324,0.886323,16.0818,
-59.5403,-25.9511,-21.6852,-3.91611,21.3429,3.28842,7.30611,-1.26761,7.09324,0.886323,16.0818,
-15.22,-26.5089,-20.9197,-3.89735,20.7655,3.15198,6.59051,-1.16157,4.42472,0.419876,14.5823,
-13.9921,-28.0866,-19.6639,-4.08658,18.7959,3.5223,8.28261,-2.46139,2.89478,0.298286,15.9943,
-12.7064,-29.6185,-18.9493,-3.59853,16.8333,3.68465,8.02169,-2.44636,3.66118,0.292126,15.4865,
-10.6472,-31.1765,-17.864,-3.61094,13.9959,3.6639,7.74795,-2.40004,4.40676,0.285099,15.0122,
-9.49087,-32.7563,-17.0805,-3.19964,10.2602,4.64974,7.49236,-2.28336,4.25944,0.283698,13.7216,
-7.70196,-34.3929,-16.4772,-4.75196,8.10539,4.60708,6.91145,-2.14403,5.02915,0.259418,13.5951,
-6.87473,-36.0636,-16.0773,-4.87511,6.95641,4.6556,6.69133,-2.08515,4.02524,0.240628,12.7927,
-6.08509,-37.7287,-14.2639,-4.87243,4.2242,4.9433,6.46653,-2.02573,4.50101,0.317527,11.6795,
-5.34553,-38.9227,-13.7112,-4.57215,3.14017,5.12177,6.2447,-1.9839,5.27762,0.296357,11.7951,
-4.35072,-40.6255,-12.4862,-4.52306,2.12038,5.3543,6.21318,-1.66437,5.32289,0.34346,11.9697,
-3.70109,-42.4303,-12.0018,-4.38088,1.51141,4.38181,5.96454,-1.61688,6.12299,0.324465,11.408,
-3.10194,-43.7257,-11.5644,-3.37241,0.730303,4.00418,5.76516,-1.5415,6.79849,0.319113,10.8654,
-2.52444,-44.9359,-11.2745,-3.30594,0.473822,4.12116,5.55091,-1.84705,10.245,0.305784,10.2405,
-1.9783,-46.7504,-10.7812,-3.22405,-0.270112,4.76159,5.35066,-1.70702,10.4826,0.296513,10.0217,
-1.58056,-48.5421,-10.1383,-3.23565,-0.628398,4.03121,4.99959,-1.7946,8.98184,0.272881,8.90977,
-1.24632,-50.252,-9.68463,-3.1309,-0.559903,4.60747,4.84769,-1.73171,7.68161,0.256312,8.53467,
-0.743612,-51.9735,-9.23764,-3.00326,-0.518445,4.62948,4.84109,-1.54272,8.83139,0.28133,7.77501,
-0.313477,-53.5836,-8.7955,-2.87235,-0.784213,3.40305,4.76676,-1.4801,9.1468,0.280285,7.02361,
0.0897767,-55.155,-8.3582,-2.83715,-0.839253,3.35129,5.15883,-1.41404,7.99811,0.270934,6.2806,
0.57805,-55.6029,-7.9237,-2.87539,-1.09742,3.22546,5.21916,-1.33188,8.34249,0.266082,5.55731,
0.850338,-56.9689,-7.63226,-2.77524,-1.13268,2.86257,4.83956,-1.24009,8.81485,0.256972,3.54168,
1.02605,-58.4464,-6.90712,-2.67737,-1.32911,2.85038,4.77427,-1.10978,9.2525,0.183953,2.76043,
1.30583,-59.619,-6.21477,-2.55437,-1.33237,3.04834,3.55727,-1.0451,9.68416,0.208619,2.14586,
1.58826,-59.3682,-5.85095,-2.44341,-0.115625,3.03523,3.49892,-0.950402,10.1125,0.162663,1.58759,
1.81438,-60.1985,-5.21417,-1.91148,-0.299642,2.77761,2.28961,-0.809497,8.63721,0.0534981,1.17027,
2.10726,-60.9143,-4.77433,-1.64908,-3.04812,2.87303,2.20657,-0.880922,7.33252,0.0228976,0.837603,
2.29095,-60.2048,-4.42369,-1.69238,-3.10566,4.34814,2.1373,-0.770994,7.98357,0.0596246,0.53746,
2.5048,-60.554,-4.09597,-1.40023,-3.19722,4.74564,2.10966,-0.648237,8.62874,0.0481211,0.119114,
2.72991,-60.704,-3.67254,-1.41086,-3.21198,4.81783,2.17349,-0.453084,7.28773,0.0404044,-0.247612,
2.94822,-60.3755,-3.36489,-1.4402,-3.11071,4.88046,2.10583,-0.427434,8.01431,0.0359745,-0.569537,
3.15263,-60.314,-3.07251,-1.44383,-3.03601,4.97644,2.1393,-0.163544,9.15032,-0.0137446,-0.765916,
3.36407,-60.3086,-2.78388,-1.43838,-2.36586,5.26146,2.34206,0.140484,10.2222,-0.0254905,-0.809564,
3.55392,-59.9012,-2.495,-1.58671,-2.47899,5.51716,2.40465,0.304716,10.8402,-0.0476778,0.266503,
3.72211,-57.4407,-2.20444,-1.5995,-1.90334,5.57318,2.72029,0.459038,12.4218,-0.276904,0.31494,
3.90089,-56.8351,-1.93792,-1.6499,-1.74463,5.98874,2.60399,-1.10138,11.8445,-0.260504,0.193797,
4.06386,-56.1364,-1.67088,-1.70825,-1.61779,6.00429,2.4812,-0.848862,10.166,-0.237806,0.114218,
4.17271,-55.2247,-1.41415,-1.74691,-1.1947,6.01537,4.22464,-0.744161,9.91478,-0.305693,-0.0986361,
4.17519,-54.2679,-1.15613,-1.79095,-0.136205,5.7149,6.33304,1.28017,10.5684,-0.3327,0.463079,
4.30696,-53.2106,-0.914298,-1.83251,0.00529343,5.66053,5.92498,1.48654,11.2463,-0.356348,0.470559,
4.41789,-53.4982,-0.658808,-1.90403,0.127592,5.6193,-2.31,1.69748,12.0172,-0.307995,0.497993,
4.54444,-52.1132,-0.42926,-2.00415,0.344971,5.87557,-1.56515,1.92919,11.9953,-0.319452,0.524272,
4.68151,-50.8332,-0.19859,-1.87359,-0.0588351,5.38599,-0.217101,2.1708,13.3179,-0.393457,0.567043,
4.77254,-49.3752,0.0248242,-2.11747,0.0429788,5.28624,0.926945,2.43396,13.3814,-0.455104,0.386047,
4.89498,-47.9076,0.335512,-1.98189,-0.377552,5.38218,1.63435,2.68872,14.6249,-0.47007,0.433567,
4.97871,-48.4753,0.470533,-2.07647,-0.237252,4.99469,0.586615,3.62427,14.2917,-0.454155,0.0716286,
4.78433,-46.8487,0.679866,-1.95311,-0.0243488,4.62224,1.21777,3.69055,15.6608,-0.410863,-0.686591,
4.89026,-43.9485,0.895247,-1.81836,0.169036,4.48994,0.759717,3.96632,15.9301,-0.530786,-2.93113,
